,Price
1990-01-31,17.5017391304348
1990-02-28,16.6815
1990-03-31,15.7559090909091
1990-04-30,14.2504761904762
1990-05-31,14.6478260869565
1990-06-30,13.2771428571429
1990-07-31,15.3077272727273
1990-08-31,25.0908695652174
1990-09-30,30.3525
1990-10-31,31.4078260869565
1990-11-30,28.0768181818182
1990-12-31,23.2642857142857
1991-01-31,19.6321739130435
1991-02-28,14.518
1991-03-31,15.0090476190476
1991-04-30,15.3722727272727
1991-05-31,15.9447826086957
1991-06-30,15.4115
1991-07-31,16.2330434782609
1991-08-31,16.6136363636364
1991-09-30,17.7990476190476
1991-10-31,18.8834782608696
1991-11-30,18.35
1991-12-31,15.3027272727273
1992-01-31,15.2191304347826
1992-02-29,15.7225
1992-03-31,15.7540909090909
1992-04-30,16.6377272727273
1992-05-31,17.5871428571429
1992-06-30,19.0109090909091
1992-07-31,18.4939130434783
1992-08-31,17.8038095238095
1992-09-30,18.38
1992-10-31,18.1368181818182
1992-11-30,17.1371428571429
1992-12-31,16.2247826086957
1993-01-31,15.3204761904762
1993-02-28,16.046
1993-03-31,16.314347826087
1993-04-30,16.3886363636364
1993-05-31,16.1190476190476
1993-06-30,15.6431818181818
1993-07-31,14.2086363636364
1993-08-31,14.6477272727273
1993-09-30,14.1281818181818
1993-10-31,14.7514285714286
1993-11-30,13.7868181818182
1993-12-31,12.2195652173913
1994-01-31,13.0814285714286
1994-02-28,12.7525
1994-03-31,12.0760869565217
1994-04-30,13.7504761904762
1994-05-31,14.7913636363636
1994-06-30,15.6886363636364
1994-07-31,16.397619047619
1994-08-31,15.9291304347826
1994-09-30,15.2477272727273
1994-10-31,15.3714285714286
1994-11-30,15.9209090909091
1994-12-31,15.455
1995-01-31,16.0113636363636
1995-02-28,16.553
1995-03-31,16.3278260869565
1995-04-30,17.3795
1995-05-31,17.2934782608696
1995-06-30,16.1913636363636
1995-07-31,15.0661904761905
1995-08-31,15.4086956521739
1995-09-30,15.5333333333333
1995-10-31,14.8672727272727
1995-11-30,15.7359090909091
1995-12-31,17.1733333333333
1996-01-31,16.7152173913043
1996-02-29,16.0019047619048
1996-03-31,16.9671428571429
1996-04-30,17.6568181818182
1996-05-31,16.9182608695652
1996-06-30,17.314
1996-07-31,17.7217391304348
1996-08-31,18.6045454545455
1996-09-30,20.2657142857143
1996-10-31,21.6334782608696
1996-11-30,20.9461904761905
1996-12-31,21.5659090909091
1997-01-31,21.4147826086956
1997-02-28,18.887
1997-03-31,18.1747619047619
1997-04-30,16.7613636363636
1997-05-31,18.4831818181818
1997-06-30,17.2685714285714
1997-07-31,17.2830434782609
1997-08-31,17.6880952380952
1997-09-30,17.9618181818182
1997-10-31,19.0630434782609
1997-11-30,18.51
1997-12-31,16.3508695652174
1998-01-31,13.7031818181818
1998-02-28,12.4365
1998-03-31,11.5127272727273
1998-04-30,12.2277272727273
1998-05-31,12.7566666666667
1998-06-30,11.9118181818182
1998-07-31,12.0421739130435
1998-08-31,12.2061904761905
1998-09-30,13.0813636363636
1998-10-31,12.8140909090909
1998-11-30,11.76
1998-12-31,10.1052173913043
1999-01-31,10.7628571428571
1999-02-28,10.0805
1999-03-31,12.3634782608696
1999-04-30,14.8859090909091
1999-05-31,15.3109523809524
1999-06-30,15.5763636363636
1999-07-31,17.8281818181818
1999-08-31,19.3813636363636
1999-09-30,22.0409090909091
1999-10-31,21.3695238095238
1999-11-30,23.1045454545455
1999-12-31,23.5869565217391
2000-01-31,23.3595238095238
2000-02-29,24.72
2000-03-31,25.0969565217391
2000-04-30,22.3485
2000-05-31,25.6339130434783
2000-06-30,27.1522727272727
2000-07-31,26.1376190476191
2000-08-31,27.1713043478261
2000-09-30,30.0952380952381
2000-10-31,30.5709090909091
2000-11-30,30.3836363636364
2000-12-31,22.0919047619048
2001-01-31,22.604347826087
2001-02-28,24.814
2001-03-31,23.5768181818182
2001-04-30,24.2471428571429
2001-05-31,25.4221739130435
2001-06-30,25.722380952381
2001-07-31,23.4036363636364
2001-08-31,24.5626086956522
2001-09-30,24.2385
2001-10-31,19.9269565217391
2001-11-30,17.4968181818182
2001-12-31,17.8447619047619
2002-01-31,18.3513043478261
2002-02-28,19.154
2002-03-31,22.9709523809524
2002-04-30,24.3204545454545
2002-05-31,24.6056521739131
2002-06-30,23.831
2002-07-31,24.4934782608696
2002-08-31,25.2209090909091
2002-09-30,26.9685714285714
2002-10-31,25.9682608695652
2002-11-30,23.3761904761905
2002-12-31,26.0231818181818
2003-01-31,27.8813043478261
2003-02-28,30.2005
2003-03-31,27.5214285714286
2003-04-30,23.5581818181818
2003-05-31,24.3172727272727
2003-06-30,25.6690476190476
2003-07-31,26.7339130434783
2003-08-31,27.872380952381
2003-09-30,25.3027272727273
2003-10-31,27.294347826087
2003-11-30,27.4045
2003-12-31,27.9765217391304
2004-01-31,29.0618181818182
2004-02-29,28.834
2004-03-31,30.5565217391304
2004-04-30,31.6340909090909
2004-05-31,34.7509523809524
2004-06-30,33.5686363636364
2004-07-31,35.0440909090909
2004-08-31,38.6131818181818
2004-09-30,35.9818181818182
2004-10-31,38.2147619047619
2004-11-30,34.7186363636364
2004-12-31,34.1373913043478
2005-01-31,38.32
2005-02-28,39.673
2005-03-31,46.075652173913
2005-04-30,47.0961904761905
2005-05-31,45.0740909090909
2005-06-30,51.0990909090909
2005-07-31,52.9785714285714
2005-08-31,56.8347826086956
2005-09-30,56.9286363636364
2005-10-31,53.5828571428572
2005-11-30,51.3981818181818
2005-12-31,53.24
2006-01-31,58.4627272727273
2006-02-28,57.337
2006-03-31,58.4452173913043
2006-04-30,64.5375
2006-05-31,65.3013043478261
2006-06-30,65.1645454545454
2006-07-31,69.0138095238095
2006-08-31,68.7482608695652
2006-09-30,59.6104761904762
2006-10-31,56.3418181818182
2006-11-30,56.8286363636364
2006-12-31,58.4147619047619
2007-01-31,51.8382608695652
2007-02-28,55.8785
2007-03-31,59.0063636363636
2007-04-30,63.8704761904762
2007-05-31,64.4782608695652
2007-06-30,66.2052380952381
2007-07-31,70.1245454545455
2007-08-31,67.3391304347826
2007-09-30,73.445
2007-10-31,77.94
2007-11-30,86.4736363636364
2007-12-31,86.2585714285714
2008-01-31,87.2226086956522
2008-02-29,90.0652380952381
2008-03-31,96.3738095238095
2008-04-30,103.862727272727
2008-05-31,119.315909090909
2008-06-30,128.215714285714
2008-07-31,130.082608695652
2008-08-31,112.619047619048
2008-09-30,96.2763636363637
2008-10-31,67.5360869565217
2008-11-30,49.896
2008-12-31,39.4195652173913
2009-01-31,43.7468181818182
2009-02-28,42.13
2009-03-31,44.7395454545455
2009-04-30,48.8459090909091
2009-05-31,57.3328571428572
2009-06-30,67.8536363636364
2009-07-31,65.5221739130435
2009-08-31,71.7557142857143
2009-09-30,67.5468181818182
2009-10-31,73.2231818181818
2009-11-30,77.1057142857143
2009-12-31,74.6608695652174
2010-01-31,76.2676190476191
2010-02-28,73.727
2010-03-31,78.1569565217391
2010-04-30,83.2840909090909
2010-05-31,76.1347619047619
2010-06-30,74.2395454545455
2010-07-31,73.0909090909091
2010-08-31,74.5354545454545
2010-09-30,75.8072727272727
2010-10-31,80.4419047619048
2010-11-30,83.455
2010-12-31,89.2317391304348
2011-01-31,92.7019047619048
2011-02-28,99.661
2011-03-31,108.037391304348
2011-04-30,115.819523809524
2011-05-31,108.227272727273
2011-06-30,107.431363636364
2011-07-31,110.947142857143
2011-08-31,104.906956521739
2011-09-30,104.702727272727
2011-10-31,103.620476190476
2011-11-30,106.796818181818
2011-12-31,104.390909090909
2012-01-31,108.604545454545
2012-02-29,116.67619047619
2012-03-31,122.598636363636
2012-04-30,117.497142857143
2012-05-31,107.650869565217
2012-06-30,94.4380952380953
2012-07-31,99.9645454545455
2012-08-31,108.954782608696
2012-09-30,110.8535
2012-10-31,108.426956521739
2012-11-30,107.105454545455
2012-12-31,106.397619047619
2013-01-31,108.18652173913
2013-02-28,111.1215
2013-03-31,105.704285714286
2013-04-30,101.495
2013-05-31,100.521739130435
2013-06-30,100.3855
2013-07-31,103.828695652174
2013-08-31,107.071363636364
2013-09-30,108.07380952381
2013-10-31,106.866086956522
2013-11-30,106.06
2013-12-31,107.932272727273
2014-01-31,103.767826086957
2014-02-28,105.2585
2014-03-31,104.344285714286
2014-04-30,104.820909090909
2014-05-31,105.534090909091
2014-06-30,108.168095238095
2014-07-31,105.957826086957
2014-08-31,101.608095238095
2014-09-30,96.38
2014-10-31,86.3778260869565
2014-11-30,76.1195
2014-12-31,59.825652173913
2015-01-31,46.4922727272727
2015-02-28,55.92
2015-03-31,54.3168181818182
2015-04-30,58.4336363636364
2015-05-31,63.1780952380953
2015-06-30,61.7972727272727
2015-07-31,55.9873913043478
2015-08-31,47.9809523809524
2015-09-30,45.1913636363636
2015-10-31,45.8595454545455
2015-11-30,41.5971428571429
2015-12-31,34.1382608695652
2016-01-31,27.4580952380952
2016-02-29,29.6728571428571
2016-03-31,35.45
2016-04-30,39.3238095238095
2016-05-31,44.35
2016-06-30,46.3159090909091
2016-07-31,42.4447619047619
2016-08-31,43.9691304347826
2016-09-30,43.6763636363636
2016-10-31,48.802380952381
2016-11-30,44.0395454545454
2016-12-31,52.1368181818182
2017-01-31,53.5690909090909
2017-02-28,54.295
2017-03-31,51.0213043478261
2017-04-30,52.5545
2017-05-31,50.134347826087
2017-06-30,46.3563636363636
2017-07-31,47.792380952381
2017-08-31,50.2695652173913
2017-09-30,53.9228571428571
2017-10-31,55.7745454545455
2017-11-30,60.5868181818182
2017-12-31,61.3842857142857
2018-01-31,66.0247826086957
2018-02-28,62.631
2018-03-31,63.9172727272727
2018-04-30,68.6671428571429
2018-05-31,74.0778260869565
2018-06-30,73.3114285714286
2018-07-31,72.7695454545455
2018-08-31,72.5947826086957
2018-09-30,76.925
2018-10-31,78.7626086956522
2018-11-30,64.6859090909091
2018-12-31,55.6690476190476
2019-01-31,59.1591304347826
2019-02-28,64.548
2019-03-31,66.952380952381
2019-04-30,70.9395454545455
2019-05-31,68.6673913043478
2019-06-30,60.915
2019-07-31,62.8608695652174
2019-08-31,58.5040909090909
2019-09-30,60.8561904761905
2019-10-31,58.8634782608696
2019-11-30,61.22
2019-12-31,64.4531818181818
2020-01-31,63.1252173913044
2020-02-29,54.0485
2020-03-31,33.5090909090909
2020-04-30,26.1927272727273
2020-05-31,32.6028571428571
2020-06-30,40.0686363636364
2020-07-31,42.5339130434783
2020-08-31,43.9171428571429
2020-09-30,41.3731818181818
2020-10-31,40.8145454545455
2020-11-30,43.4738095238095
2020-12-31,49.6269565217391
2021-01-31,54.6466666666667
2021-02-28,61.2505
2021-03-31,64.2878260869565
2021-04-30,63.1286363636364
2021-05-31,66.35
2021-06-30,71.3036363636364
2021-07-31,72.1368181818182
2021-08-31,68.7313636363636
2021-09-30,72.7581818181818
2021-10-31,81.4371428571428
2021-11-30,78.6577272727273
2021-12-31,72.8478260869565
2022-01-31,83.4509523809524
2022-02-28,91.525
2022-03-31,107.587826086957
2022-04-30,102.755238095238
2022-05-31,107.861363636364
2022-06-30,111.859545454545
2022-07-31,100.318571428571
2022-08-31,95.6930434782609
2022-09-30,89.7427272727273
2022-10-31,91.2147619047619
2022-11-30,84.5990909090909
2022-12-31,76.8559090909091
2023-01-31,80.905
2023-02-28,81.275
2023-03-31,78.2708695652174
2023-04-30,83.4085
2023-05-31,74.7891304347826
2023-06-30,74.7295454545455
2023-07-31,80.6457142857143
2023-08-31,86.1230434782609
2023-09-30,93.2385714285714
2023-10-31,88.7877272727273
