date,value
1965-01,100.6824
1965-02,100.6542
1965-03,100.6034
1965-04,100.528
1965-05,100.4479
1965-06,100.3871
1965-07,100.3706
1965-08,100.4113
1965-09,100.5109
1965-10,100.6618
1965-11,100.8464
1965-12,101.0404
1966-01,101.2108
1966-02,101.3172
1966-03,101.333
1966-04,101.242
1966-05,101.0467
1966-06,100.7792
1966-07,100.4683
1966-08,100.145
1966-09,99.84435
1966-10,99.5798
1966-11,99.3675
1966-12,99.20785
1967-01,99.11873
1967-02,99.09363
1967-03,99.13934
1967-04,99.25674
1967-05,99.43521
1967-06,99.65254
1967-07,99.88741
1967-08,100.1215
1967-09,100.3351
1967-10,100.5093
1967-11,100.6327
1967-12,100.7047
1968-01,100.735
1968-02,100.7518
1968-03,100.7754
1968-04,100.8236
1968-05,100.9046
1968-06,101.0247
1968-07,101.1889
1968-08,101.3861
1968-09,101.5927
1968-10,101.7792
1968-11,101.9156
1968-12,101.9877
1969-01,102.0024
1969-02,101.9844
1969-03,101.9368
1969-04,101.8569
1969-05,101.7319
1969-06,101.5716
1969-07,101.3926
1969-08,101.2115
1969-09,101.0241
1969-10,100.8304
1969-11,100.6351
1969-12,100.4395
1970-01,100.2419
1970-02,100.0427
1970-03,99.84328
1970-04,99.65082
1970-05,99.48253
1970-06,99.3456
1970-07,99.22915
1970-08,99.1349
1970-09,99.076
1970-10,99.0721
1970-11,99.1445
1970-12,99.28596
1971-01,99.45727
1971-02,99.62284
1971-03,99.76236
1971-04,99.87403
1971-05,99.95982
1971-06,100.0263
1971-07,100.089
1971-08,100.1566
1971-09,100.258
1971-10,100.4225
1971-11,100.6643
1971-12,100.9795
1972-01,101.3302
1972-02,101.6845
1972-03,102.0274
1972-04,102.3497
1972-05,102.644
1972-06,102.9126
1972-07,103.1773
1972-08,103.4612
1972-09,103.7586
1972-10,104.053
1972-11,104.3162
1972-12,104.5143
1973-01,104.6201
1973-02,104.5938
1973-03,104.4746
1973-04,104.2727
1973-05,104.0145
1973-06,103.7267
1973-07,103.4269
1973-08,103.1258
1973-09,102.8172
1973-10,102.4949
1973-11,102.1404
1973-12,101.7605
1974-01,101.3771
1974-02,100.9889
1974-03,100.5788
1974-04,100.1368
1974-05,99.65918
1974-06,99.14281
1974-07,98.58929
1974-08,98.00855
1974-09,97.42872
1974-10,96.90372
1974-11,96.49218
1974-12,96.24492
1975-01,96.1946
1975-02,96.32394
1975-03,96.59389
1975-04,96.97017
1975-05,97.41368
1975-06,97.89285
1975-07,98.38382
1975-08,98.87266
1975-09,99.35628
1975-10,99.8194
1975-11,100.2564
1975-12,100.6593
1976-01,101.0074
1976-02,101.2789
1976-03,101.4661
1976-04,101.5777
1976-05,101.6183
1976-06,101.5984
1976-07,101.5343
1976-08,101.4401
1976-09,101.3398
1976-10,101.2565
1976-11,101.2034
1976-12,101.1711
1977-01,101.1441
1977-02,101.1111
1977-03,101.0656
1977-04,101.0087
1977-05,100.9544
1977-06,100.9119
1977-07,100.8951
1977-08,100.9064
1977-09,100.9425
1977-10,100.9963
1977-11,101.0575
1977-12,101.1293
1978-01,101.2197
1978-02,101.3352
1978-03,101.4982
1978-04,101.696
1978-05,101.9063
1978-06,102.1135
1978-07,102.3017
1978-08,102.4511
1978-09,102.5517
1978-10,102.5914
1978-11,102.5853
1978-12,102.563
1979-01,102.5481
1979-02,102.5437
1979-03,102.5274
1979-04,102.4707
1979-05,102.3651
1979-06,102.2101
1979-07,102.0188
1979-08,101.8075
1979-09,101.5801
1979-10,101.3319
1979-11,101.0617
1979-12,100.7738
1980-01,100.4699
1980-02,100.1399
1980-03,99.80495
1980-04,99.52884
1980-05,99.3745
1980-06,99.37356
1980-07,99.49667
1980-08,99.68605
1980-09,99.88395
1980-10,100.0368
1980-11,100.1264
1980-12,100.167
1981-01,100.186
1981-02,100.1963
1981-03,100.1984
1981-04,100.1689
1981-05,100.0857
1981-06,99.96082
1981-07,99.82318
1981-08,99.68382
1981-09,99.54166
1981-10,99.40125
1981-11,99.26529
1981-12,99.13705
1982-01,99.00737
1982-02,98.79284
1982-03,98.54981
1982-04,98.2988
1982-05,98.066
1982-06,97.86456
1982-07,97.71518
1982-08,97.64257
1982-09,97.66576
1982-10,97.78596
1982-11,97.99271
1982-12,98.27892
1983-01,98.62249
1983-02,98.98714
1983-03,99.36168
1983-04,99.72866
1983-05,100.067
1983-06,100.3684
1983-07,100.6212
1983-08,100.824
1983-09,100.9844
1983-10,101.1125
1983-11,101.2033
1983-12,101.2535
1984-01,101.2604
1984-02,101.2191
1984-03,101.133
1984-04,101.0139
1984-05,100.8779
1984-06,100.7311
1984-07,100.5916
1984-08,100.4684
1984-09,100.3629
1984-10,100.2892
1984-11,100.2597
1984-12,100.2724
1985-01,100.3041
1985-02,100.3217
1985-03,100.3247
1985-04,100.3077
1985-05,100.2677
1985-06,100.2074
1985-07,100.1287
1985-08,100.0454
1985-09,99.97432
1985-10,99.91934
1985-11,99.88092
1985-12,99.85706
1986-01,99.84766
1986-02,99.84151
1986-03,99.83202
1986-04,99.81609
1986-05,99.78944
1986-06,99.7652
1986-07,99.75043
1986-08,99.75064
1986-09,99.76667
1986-10,99.79765
1986-11,99.85954
1986-12,99.96777
1987-01,100.1293
1987-02,100.3255
1987-03,100.547
1987-04,100.7791
1987-05,101.0001
1987-06,101.1784
1987-07,101.2867
1987-08,101.3137
1987-09,101.2633
1987-10,101.1547
1987-11,101.0308
1987-12,100.9357
1988-01,100.8146
1988-02,100.7419
1988-03,100.7116
1988-04,100.7184
1988-05,100.7538
1988-06,100.8069
1988-07,100.8626
1988-08,100.9189
1988-09,100.9641
1988-10,100.9995
1988-11,101.0233
1988-12,101.0238
1989-01,100.9976
1989-02,100.9665
1989-03,100.9153
1989-04,100.8427
1989-05,100.7535
1989-06,100.6666
1989-07,100.5897
1989-08,100.5281
1989-09,100.4824
1989-10,100.4554
1989-11,100.4531
1989-12,100.4705
1990-01,100.4972
1990-02,100.5183
1990-03,100.5242
1990-04,100.4931
1990-05,100.4137
1990-06,100.2636
1990-07,100.0411
1990-08,99.75415
1990-09,99.44139
1990-10,99.14037
1990-11,98.89314
1990-12,98.73935
1991-01,98.68951
1991-02,98.74227
1991-03,98.87515
1991-04,99.04035
1991-05,99.20082
1991-06,99.33556
1991-07,99.42317
1991-08,99.44595
1991-09,99.41534
1991-10,99.34958
1991-11,99.27811
1991-12,99.23318
1992-01,99.23592
1992-02,99.27348
1992-03,99.32428
1992-04,99.35469
1992-05,99.33659
1992-06,99.28487
1992-07,99.19003
1992-08,99.0815
1992-09,98.99455
1992-10,98.94733
1992-11,98.94415
1992-12,98.96948
1993-01,99.00178
1993-02,99.02655
1993-03,99.0344
1993-04,99.02892
1993-05,99.01709
1993-06,99.0153
1993-07,99.04501
1993-08,99.11843
1993-09,99.23452
1993-10,99.38742
1993-11,99.56657
1993-12,99.76413
1994-01,99.96104
1994-02,100.1254
1994-03,100.2746
1994-04,100.4146
1994-05,100.5642
1994-06,100.7108
1994-07,100.8445
1994-08,100.9546
1994-09,101.017
1994-10,101.0217
1994-11,100.9591
1994-12,100.8291
1995-01,100.6495
1995-02,100.4519
1995-03,100.2599
1995-04,100.1049
1995-05,100.0019
1995-06,99.94581
1995-07,99.92835
1995-08,99.92899
1995-09,99.92796
1995-10,99.92698
1995-11,99.93156
1995-12,99.9454
1996-01,99.97424
1996-02,100.0271
1996-03,100.1091
1996-04,100.2135
1996-05,100.3274
1996-06,100.4427
1996-07,100.5503
1996-08,100.6129
1996-09,100.6553
1996-10,100.6808
1996-11,100.692
1996-12,100.7043
1997-01,100.7231
1997-02,100.7517
1997-03,100.782
1997-04,100.7958
1997-05,100.7818
1997-06,100.7463
1997-07,100.6867
1997-08,100.5967
1997-09,100.4811
1997-10,100.3368
1997-11,100.1706
1997-12,99.9988
1998-01,99.83478
1998-02,99.68526
1998-03,99.53794
1998-04,99.37883
1998-05,99.20642
1998-06,99.02737
1998-07,98.86079
1998-08,98.7278
1998-09,98.65139
1998-10,98.65148
1998-11,98.73979
1998-12,98.90424
1999-01,99.13173
1999-02,99.39795
1999-03,99.68313
1999-04,99.97389
1999-05,100.2503
1999-06,100.5007
1999-07,100.71
1999-08,100.8811
1999-09,101.0309
1999-10,101.1734
1999-11,101.3119
1999-12,101.433
2000-01,101.5239
2000-02,101.5675
2000-03,101.5667
2000-04,101.5195
2000-05,101.4296
2000-06,101.3054
2000-07,101.1458
2000-08,100.9492
2000-09,100.7161
2000-10,100.4479
2000-11,100.1505
2000-12,99.83041
2001-01,99.51515
2001-02,99.23914
2001-03,99.01765
2001-04,98.8475
2001-05,98.72009
2001-06,98.60067
2001-07,98.48568
2001-08,98.3853
2001-09,98.32244
2001-10,98.33913
2001-11,98.45162
2001-12,98.64306
2002-01,98.87743
2002-02,99.12006
2002-03,99.33237
2002-04,99.46612
2002-05,99.50092
2002-06,99.44655
2002-07,99.33448
2002-08,99.20132
2002-09,99.06956
2002-10,98.95676
2002-11,98.86915
2002-12,98.79036
2003-01,98.71234
2003-02,98.65215
2003-03,98.63959
2003-04,98.69433
2003-05,98.81056
2003-06,98.98312
2003-07,99.19955
2003-08,99.4505
2003-09,99.7248
2003-10,99.99836
2003-11,100.2437
2003-12,100.4376
2004-01,100.57
2004-02,100.641
2004-03,100.6613
2004-04,100.6436
2004-05,100.6075
2004-06,100.5701
2004-07,100.5348
2004-08,100.5061
2004-09,100.4903
2004-10,100.481
2004-11,100.4712
2004-12,100.4439
2005-01,100.3867
2005-02,100.3015
2005-03,100.2042
2005-04,100.1179
2005-05,100.063
2005-06,100.0534
2005-07,100.0804
2005-08,100.1352
2005-09,100.215
2005-10,100.3221
2005-11,100.4528
2005-12,100.5895
2006-01,100.7143
2006-02,100.8182
2006-03,100.8983
2006-04,100.9517
2006-05,100.9797
2006-06,100.9964
2006-07,101.0212
2006-08,101.0778
2006-09,101.1777
2006-10,101.3152
2006-11,101.4814
2006-12,101.6612
2007-01,101.8399
2007-02,102.0261
2007-03,102.2183
2007-04,102.3991
2007-05,102.5344
2007-06,102.5969
2007-07,102.577
2007-08,102.4912
2007-09,102.3586
2007-10,102.1931
2007-11,102.005
2007-12,101.8051
2008-01,101.5804
2008-02,101.3092
2008-03,100.9965
2008-04,100.6227
2008-05,100.1643
2008-06,99.6089
2008-07,98.95215
2008-08,98.21471
2008-09,97.42904
2008-10,96.65967
2008-11,96.00997
2008-12,95.56057
2009-01,95.3549
2009-02,95.41644
2009-03,95.70922
2009-04,96.19481
2009-05,96.80752
2009-06,97.48382
2009-07,98.15887
2009-08,98.77924
2009-09,99.31734
2009-10,99.76198
2009-11,100.117
2009-12,100.3824
2010-01,100.5642
2010-02,100.6665
2010-03,100.715
2010-04,100.7084
2010-05,100.6568
2010-06,100.5947
2010-07,100.5623
2010-08,100.5816
2010-09,100.6502
2010-10,100.7539
2010-11,100.8703
2010-12,100.9718
2011-01,101.0422
2011-02,101.0607
2011-03,101.0193
2011-04,100.915
2011-05,100.7583
2011-06,100.5616
2011-07,100.3421
2011-08,100.1218
2011-09,99.93819
2011-10,99.81741
2011-11,99.76225
2011-12,99.75735
2012-01,99.77859
2012-02,99.79739
2012-03,99.79255
2012-04,99.75753
2012-05,99.70535
2012-06,99.65
2012-07,99.61009
2012-08,99.59499
2012-09,99.6114
2012-10,99.65746
2012-11,99.73016
2012-12,99.82371
2013-01,99.92544
2013-02,100.0248
2013-03,100.1111
2013-04,100.1833
2013-05,100.2489
2013-06,100.3068
2013-07,100.3559
2013-08,100.3957
2013-09,100.421
2013-10,100.4296
2013-11,100.4235
2013-12,100.399
2014-01,100.3623
2014-02,100.332
2014-03,100.3147
2014-04,100.299
2014-05,100.2829
2014-06,100.2678
2014-07,100.2554
2014-08,100.2453
2014-09,100.237
2014-10,100.2296
2014-11,100.2238
2014-12,100.2147
2015-01,100.1991
2015-02,100.1852
2015-03,100.1802
2015-04,100.168
2015-05,100.1287
2015-06,100.052
2015-07,99.93822
2015-08,99.81044
2015-09,99.6933
2015-10,99.60202
2015-11,99.52949
2015-12,99.46811
2016-01,99.42297
2016-02,99.40066
2016-03,99.41331
2016-04,99.44854
2016-05,99.49567
2016-06,99.55128
2016-07,99.61839
2016-08,99.69234
2016-09,99.77541
2016-10,99.86697
2016-11,99.96322
2016-12,100.0578
2017-01,100.1462
2017-02,100.234
2017-03,100.3224
2017-04,100.41
2017-05,100.4975
2017-06,100.5828
2017-07,100.6579
2017-08,100.718
2017-09,100.756
2017-10,100.7719
2017-11,100.7692
2017-12,100.7467
2018-01,100.7087
2018-02,100.6589
2018-03,100.5978
2018-04,100.5205
2018-05,100.4293
2018-06,100.3211
2018-07,100.1972
2018-08,100.0602
2018-09,99.91698
2018-10,99.77575
2018-11,99.64853
2018-12,99.53818
2019-01,99.45
2019-02,99.38296
2019-03,99.33098
2019-04,99.27792
2019-05,99.22129
2019-06,99.16555
2019-07,99.11443
2019-08,99.07176
2019-09,99.04591
2019-10,99.04046
2019-11,99.0538
2019-12,99.07269
2020-01,99.08418
2020-02,95.35371
2020-03,94.25957
2020-04,89.69202
2020-05,93.38651
2020-06,96.37074
2020-07,98.03941
2020-08,98.99342
2020-09,99.53521
2020-10,99.94064
2020-11,100.2529
2020-12,100.5745
2021-01,100.7886
2021-02,100.9856
2021-03,101.191
2021-04,101.3449
2021-05,101.4006
2021-06,101.395
2021-07,101.2899
2021-08,101.1452
2021-09,100.9948
2021-10,100.8606
2021-11,100.7089
2021-12,100.5526
2022-01,100.3802
2022-02,100.1883
2022-03,99.9789
2022-04,99.75799
2022-05,99.53117
2022-06,99.30405
2022-07,99.10403
2022-08,98.9476
2022-09,98.84088
2022-10,98.79328
2022-11,98.8115
2022-12,98.89095